iso3,window_end,y,split
NGA,2008-01-01,0,train
NGA,2008-02-01,0,train
NGA,2008-03-01,0,train
NGA,2008-04-01,0,train
NGA,2008-05-01,0,train
NGA,2008-06-01,0,train
NGA,2008-07-01,0,train
NGA,2008-08-01,0,train
NGA,2008-09-01,0,train
NGA,2008-10-01,0,train
NGA,2008-11-01,0,train
NGA,2008-12-01,0,train
NGA,2009-01-01,0,train
NGA,2009-02-01,0,train
NGA,2009-03-01,0,train
NGA,2009-04-01,0,train
NGA,2009-05-01,0,train
NGA,2009-06-01,0,train
NGA,2009-07-01,0,train
NGA,2009-08-01,0,train
NGA,2009-09-01,0,train
NGA,2009-10-01,0,train
NGA,2009-11-01,0,train
NGA,2009-12-01,0,train
NGA,2010-01-01,0,train
NGA,2010-02-01,0,train
NGA,2010-03-01,0,train
NGA,2010-04-01,0,train
NGA,2010-05-01,0,train
NGA,2010-06-01,0,train
NGA,2010-07-01,0,train
NGA,2010-08-01,0,train
NGA,2010-09-01,0,train
NGA,2010-10-01,0,train
NGA,2010-11-01,0,train
NGA,2010-12-01,0,train
NGA,2011-01-01,0,train
NGA,2011-02-01,0,train
NGA,2011-03-01,0,train
NGA,2011-04-01,0,train
NGA,2011-05-01,0,train
NGA,2011-06-01,0,train
NGA,2011-07-01,0,train
NGA,2011-08-01,0,train
NGA,2011-09-01,0,train
NGA,2011-10-01,0,train
NGA,2011-11-01,0,train
NGA,2011-12-01,0,train
NGA,2012-01-01,0,train
NGA,2012-02-01,0,train
NGA,2012-03-01,0,train
NGA,2012-04-01,0,train
NGA,2012-05-01,0,train
NGA,2012-06-01,0,train
NGA,2012-07-01,0,train
NGA,2012-08-01,0,train
NGA,2012-09-01,0,train
NGA,2012-10-01,0,train
NGA,2012-11-01,0,train
NGA,2012-12-01,0,train
NGA,2013-01-01,0,train
NGA,2013-02-01,0,train
NGA,2013-03-01,0,train
NGA,2013-04-01,0,train
NGA,2013-05-01,0,train
NGA,2013-06-01,0,train
NGA,2013-07-01,0,train
NGA,2013-08-01,0,train
NGA,2013-09-01,0,train
NGA,2013-10-01,0,train
NGA,2013-11-01,0,train
NGA,2013-12-01,0,train
NGA,2014-01-01,0,train
NGA,2014-02-01,0,train
NGA,2014-03-01,0,train
NGA,2014-04-01,0,train
NGA,2014-05-01,0,train
NGA,2014-06-01,0,train
NGA,2014-07-01,0,train
NGA,2014-08-01,0,train
NGA,2014-09-01,0,train
NGA,2014-10-01,0,train
NGA,2014-11-01,0,train
NGA,2014-12-01,0,train
NGA,2015-01-01,0,train
NGA,2015-02-01,0,train
NGA,2015-03-01,0,train
NGA,2015-04-01,0,train
NGA,2015-05-01,0,train
NGA,2015-06-01,0,train
NGA,2015-07-01,0,train
NGA,2015-08-01,0,train
NGA,2015-09-01,0,train
NGA,2015-10-01,0,train
NGA,2015-11-01,0,train
NGA,2015-12-01,0,train
NGA,2016-01-01,0,train
NGA,2016-02-01,0,train
NGA,2016-03-01,0,train
NGA,2016-04-01,0,train
NGA,2016-05-01,0,train
NGA,2016-06-01,0,train
NGA,2016-07-01,0,train
NGA,2016-08-01,0,train
NGA,2016-09-01,0,train
NGA,2016-10-01,0,train
NGA,2016-11-01,0,train
NGA,2016-12-01,0,train
NGA,2017-01-01,0,train
NGA,2017-02-01,0,train
NGA,2017-03-01,0,train
NGA,2017-04-01,0,train
NGA,2017-05-01,0,train
NGA,2017-06-01,0,train
NGA,2017-07-01,0,train
NGA,2017-08-01,0,train
NGA,2017-09-01,0,train
NGA,2017-10-01,0,train
NGA,2017-11-01,0,train
NGA,2017-12-01,0,train
PAK,2001-12-01,0,train
PAK,2002-01-01,0,train
PAK,2002-02-01,0,train
PAK,2002-03-01,0,train
PAK,2002-04-01,0,train
PAK,2002-05-01,0,train
PAK,2002-06-01,0,train
PAK,2002-07-01,0,train
PAK,2002-08-01,0,train
PAK,2002-09-01,0,train
PAK,2002-10-01,0,train
PAK,2002-11-01,0,train
PAK,2002-12-01,0,train
PAK,2003-01-01,0,train
PAK,2003-02-01,0,train
PAK,2003-03-01,0,train
PAK,2003-04-01,0,train
PAK,2003-05-01,0,train
PAK,2003-06-01,0,train
PAK,2003-07-01,0,train
PAK,2003-08-01,0,train
PAK,2003-09-01,0,train
PAK,2003-10-01,0,train
PAK,2003-11-01,0,train
PAK,2003-12-01,0,train
PAK,2004-01-01,0,train
PAK,2004-02-01,0,train
PAK,2004-03-01,0,train
PAK,2004-04-01,0,train
PAK,2004-05-01,0,train
PAK,2004-06-01,0,train
PAK,2004-07-01,0,train
PAK,2004-08-01,0,train
PAK,2004-09-01,0,train
PAK,2004-10-01,0,train
PAK,2004-11-01,0,train
PAK,2004-12-01,0,train
PAK,2005-01-01,0,train
PAK,2005-02-01,0,train
PAK,2005-03-01,0,train
PAK,2005-04-01,0,train
PAK,2005-05-01,0,train
PAK,2005-06-01,0,train
PAK,2005-07-01,0,train
PAK,2005-08-01,0,train
PAK,2005-09-01,0,train
PAK,2005-10-01,0,train
PAK,2005-11-01,0,train
PAK,2005-12-01,0,train
PAK,2006-01-01,0,train
PAK,2006-02-01,0,train
PAK,2006-03-01,0,train
PAK,2006-04-01,0,train
PAK,2006-05-01,0,train
PAK,2006-06-01,0,train
PAK,2006-07-01,0,train
PAK,2006-08-01,0,train
PAK,2006-09-01,0,train
PAK,2006-10-01,0,train
PAK,2006-11-01,0,train
PAK,2006-12-01,0,train
PAK,2007-01-01,0,train
PAK,2007-02-01,0,train
PAK,2007-03-01,0,train
PAK,2007-04-01,0,train
PAK,2007-05-01,0,train
PAK,2007-06-01,0,train
PAK,2007-07-01,0,train
PAK,2007-08-01,0,train
PAK,2007-09-01,0,train
PAK,2007-10-01,0,train
PAK,2007-11-01,0,train
PAK,2007-12-01,0,train
PAK,2008-01-01,0,train
PAK,2008-02-01,0,train
PAK,2008-03-01,0,train
PAK,2008-04-01,0,train
PAK,2008-05-01,0,train
PAK,2008-06-01,0,train
PAK,2008-07-01,0,train
PAK,2008-08-01,0,train
PAK,2008-09-01,0,train
PAK,2008-10-01,0,train
PAK,2008-11-01,0,train
PAK,2008-12-01,0,train
PAK,2009-01-01,0,train
PAK,2009-02-01,0,train
PAK,2009-03-01,0,train
PAK,2009-04-01,0,train
PAK,2009-05-01,0,train
PAK,2009-06-01,0,train
PAK,2009-07-01,0,train
PAK,2009-08-01,0,train
PAK,2009-09-01,0,train
PAK,2009-10-01,0,train
PAK,2009-11-01,0,train
PAK,2009-12-01,0,train
PAK,2010-01-01,0,train
PAK,2010-02-01,0,train
PAK,2010-03-01,0,train
PAK,2010-04-01,0,train
PAK,2010-05-01,0,train
PAK,2010-06-01,0,train
PAK,2010-07-01,0,train
PAK,2010-08-01,0,train
PAK,2010-09-01,0,train
PAK,2010-10-01,0,train
PAK,2010-11-01,0,train
PAK,2010-12-01,0,train
PAK,2011-01-01,0,train
PAK,2011-02-01,0,train
PAK,2011-03-01,0,train
PAK,2011-04-01,0,train
PAK,2011-05-01,0,train
PAK,2011-06-01,0,train
PAK,2011-07-01,0,train
PAK,2011-08-01,0,train
PAK,2011-09-01,0,train
PAK,2011-10-01,0,train
PAK,2011-11-01,0,train
PAK,2011-12-01,0,train
PAK,2012-01-01,0,train
PAK,2012-02-01,0,train
PAK,2012-03-01,0,train
PAK,2012-04-01,0,train
PAK,2012-05-01,0,train
PAK,2012-06-01,0,train
PAK,2012-07-01,0,train
PAK,2012-08-01,0,train
PAK,2012-09-01,0,train
PAK,2012-10-01,0,train
PAK,2012-11-01,0,train
PAK,2012-12-01,0,train
PAK,2013-01-01,0,train
PAK,2013-02-01,0,train
PAK,2013-03-01,0,train
PAK,2013-04-01,0,train
PAK,2013-05-01,0,train
PAK,2013-06-01,0,train
PAK,2013-07-01,0,train
PAK,2013-08-01,0,train
PAK,2013-09-01,0,train
PAK,2013-10-01,0,train
PAK,2013-11-01,0,train
PAK,2013-12-01,0,train
PAK,2014-01-01,0,train
PAK,2014-02-01,0,train
PAK,2014-03-01,0,train
PAK,2014-04-01,0,train
PAK,2014-05-01,0,train
PAK,2014-06-01,0,train
PAK,2014-07-01,0,train
PAK,2014-08-01,0,train
PAK,2014-09-01,0,train
PAK,2014-10-01,0,train
PAK,2014-11-01,0,train
PAK,2014-12-01,0,train
PAK,2015-01-01,0,train
PAK,2015-02-01,0,train
PAK,2015-03-01,0,train
PAK,2015-04-01,0,train
PAK,2015-05-01,0,train
PAK,2015-06-01,0,train
PAK,2015-07-01,0,train
PAK,2015-08-01,0,train
PAK,2015-09-01,0,train
PAK,2015-10-01,0,train
PAK,2015-11-01,0,train
PAK,2015-12-01,0,train
PAK,2016-01-01,0,train
PAK,2016-02-01,0,train
PAK,2016-03-01,0,train
PAK,2016-04-01,0,train
PAK,2016-05-01,0,train
PAK,2016-06-01,0,train
PAK,2016-07-01,0,train
PAK,2016-08-01,0,train
PAK,2016-09-01,0,train
PAK,2016-10-01,0,train
PAK,2016-11-01,0,train
PAK,2016-12-01,0,train
PAK,2017-01-01,0,train
PAK,2017-02-01,0,train
PAK,2017-03-01,0,train
PAK,2017-04-01,0,train
PAK,2017-05-01,0,train
PAK,2017-06-01,0,train
PAK,2017-07-01,0,train
PAK,2017-08-01,0,train
PAK,2017-09-01,0,train
PAK,2017-10-01,0,train
PAK,2017-11-01,0,train
PAK,2017-12-01,0,train
PER,2001-12-01,0,train
PER,2002-01-01,0,train
PER,2002-02-01,0,train
PER,2002-03-01,0,train
PER,2002-04-01,0,train
PER,2002-05-01,0,train
PER,2002-06-01,0,train
PER,2002-07-01,0,train
PER,2002-08-01,0,train
PER,2002-09-01,0,train
PER,2002-10-01,0,train
PER,2002-11-01,0,train
PER,2002-12-01,0,train
PER,2003-01-01,0,train
PER,2003-02-01,0,train
PER,2003-03-01,0,train
PER,2003-04-01,0,train
PER,2003-05-01,0,train
PER,2003-06-01,0,train
PER,2003-07-01,0,train
PER,2003-08-01,0,train
PER,2003-09-01,0,train
PER,2003-10-01,0,train
PER,2003-11-01,0,train
PER,2003-12-01,0,train
PER,2004-01-01,0,train
PER,2004-02-01,0,train
PER,2004-03-01,0,train
PER,2004-04-01,0,train
PER,2004-05-01,0,train
PER,2004-06-01,0,train
PER,2004-07-01,0,train
PER,2004-08-01,0,train
PER,2004-09-01,0,train
PER,2004-10-01,0,train
PER,2004-11-01,0,train
PER,2004-12-01,0,train
PER,2005-01-01,0,train
PER,2005-02-01,0,train
PER,2005-03-01,0,train
PER,2005-04-01,0,train
PER,2005-05-01,0,train
PER,2005-06-01,0,train
PER,2005-07-01,0,train
PER,2005-08-01,0,train
PER,2005-09-01,0,train
PER,2005-10-01,0,train
PER,2005-11-01,0,train
PER,2005-12-01,0,train
PER,2006-01-01,0,train
PER,2006-02-01,0,train
PER,2006-03-01,0,train
PER,2006-04-01,0,train
PER,2006-05-01,0,train
PER,2006-06-01,0,train
PER,2006-07-01,0,train
PER,2006-08-01,0,train
PER,2006-09-01,0,train
PER,2006-10-01,0,train
PER,2006-11-01,0,train
PER,2006-12-01,0,train
PER,2007-01-01,0,train
PER,2007-02-01,0,train
PER,2007-03-01,0,train
PER,2007-04-01,0,train
PER,2007-05-01,0,train
PER,2007-06-01,0,train
PER,2007-07-01,0,train
PER,2007-08-01,0,train
PER,2007-09-01,0,train
PER,2007-10-01,0,train
PER,2007-11-01,0,train
PER,2007-12-01,0,train
PER,2008-01-01,0,train
PER,2008-02-01,0,train
PER,2008-03-01,0,train
PER,2008-04-01,0,train
PER,2008-05-01,0,train
PER,2008-06-01,0,train
PER,2008-07-01,0,train
PER,2008-08-01,0,train
PER,2008-09-01,0,train
PER,2008-10-01,0,train
PER,2008-11-01,0,train
PER,2008-12-01,0,train
PER,2009-01-01,0,train
PER,2009-02-01,0,train
PER,2009-03-01,0,train
PER,2009-04-01,0,train
PER,2009-05-01,0,train
PER,2009-06-01,0,train
PER,2009-07-01,0,train
PER,2009-08-01,0,train
PER,2009-09-01,0,train
PER,2009-10-01,0,train
PER,2009-11-01,0,train
PER,2009-12-01,0,train
PER,2010-01-01,0,train
PER,2010-02-01,0,train
PER,2010-03-01,0,train
PER,2010-04-01,0,train
PER,2010-05-01,0,train
PER,2010-06-01,0,train
PER,2010-07-01,0,train
PER,2010-08-01,0,train
PER,2010-09-01,0,train
PER,2010-10-01,0,train
PER,2010-11-01,0,train
PER,2010-12-01,0,train
PER,2011-01-01,0,train
PER,2011-02-01,0,train
PER,2011-03-01,0,train
PER,2011-04-01,0,train
PER,2011-05-01,0,train
PER,2011-06-01,0,train
PER,2011-07-01,0,train
PER,2011-08-01,0,train
PER,2011-09-01,0,train
PER,2011-10-01,0,train
PER,2011-11-01,0,train
PER,2011-12-01,0,train
PER,2012-01-01,0,train
PER,2012-02-01,0,train
PER,2012-03-01,0,train
PER,2012-04-01,0,train
PER,2012-05-01,0,train
PER,2012-06-01,0,train
PER,2012-07-01,0,train
PER,2012-08-01,0,train
PER,2012-09-01,0,train
PER,2012-10-01,0,train
PER,2012-11-01,0,train
PER,2012-12-01,0,train
PER,2013-01-01,0,train
PER,2013-02-01,0,train
PER,2013-03-01,0,train
PER,2013-04-01,0,train
PER,2013-05-01,0,train
PER,2013-06-01,0,train
PER,2013-07-01,0,train
PER,2013-08-01,0,train
PER,2013-09-01,0,train
PER,2013-10-01,0,train
PER,2013-11-01,0,train
PER,2013-12-01,0,train
PER,2014-01-01,0,train
PER,2014-02-01,0,train
PER,2014-03-01,0,train
PER,2014-04-01,0,train
PER,2014-05-01,0,train
PER,2014-06-01,0,train
PER,2014-07-01,0,train
PER,2014-08-01,0,train
PER,2014-09-01,0,train
PER,2014-10-01,0,train
PER,2014-11-01,0,train
PER,2014-12-01,0,train
PER,2015-01-01,0,train
PER,2015-02-01,0,train
PER,2015-03-01,0,train
PER,2015-04-01,0,train
PER,2015-05-01,0,train
PER,2015-06-01,0,train
PER,2015-07-01,0,train
PER,2015-08-01,0,train
PER,2015-09-01,0,train
PER,2015-10-01,0,train
PER,2015-11-01,0,train
PER,2015-12-01,0,train
PER,2016-01-01,0,train
PER,2016-02-01,0,train
PER,2016-03-01,0,train
PER,2016-04-01,0,train
PER,2016-05-01,0,train
PER,2016-06-01,0,train
PER,2016-07-01,0,train
PER,2016-08-01,0,train
PER,2016-09-01,0,train
PER,2016-10-01,0,train
PER,2016-11-01,0,train
PER,2016-12-01,0,train
PER,2017-01-01,0,train
PER,2017-02-01,0,train
PER,2017-03-01,0,train
PER,2017-04-01,0,train
PER,2017-05-01,0,train
PER,2017-06-01,0,train
PER,2017-07-01,0,train
PER,2017-08-01,0,train
PER,2017-09-01,0,train
PER,2017-10-01,0,train
PER,2017-11-01,0,train
PER,2017-12-01,0,train
PHL,2001-12-01,0,train
PHL,2002-01-01,0,train
PHL,2002-02-01,0,train
PHL,2002-03-01,0,train
PHL,2002-04-01,0,train
PHL,2002-05-01,0,train
PHL,2002-06-01,0,train
PHL,2002-07-01,0,train
PHL,2002-08-01,0,train
PHL,2002-09-01,0,train
PHL,2002-10-01,0,train
PHL,2002-11-01,0,train
PHL,2002-12-01,0,train
PHL,2003-01-01,0,train
PHL,2003-02-01,0,train
PHL,2003-03-01,0,train
PHL,2003-04-01,0,train
PHL,2003-05-01,0,train
PHL,2003-06-01,0,train
PHL,2003-07-01,0,train
PHL,2003-08-01,0,train
PHL,2003-09-01,0,train
PHL,2003-10-01,0,train
PHL,2003-11-01,0,train
PHL,2003-12-01,0,train
PHL,2004-01-01,0,train
PHL,2004-02-01,0,train
PHL,2004-03-01,0,train
PHL,2004-04-01,0,train
PHL,2004-05-01,0,train
PHL,2004-06-01,0,train
PHL,2004-07-01,0,train
PHL,2004-08-01,0,train
PHL,2004-09-01,0,train
PHL,2004-10-01,0,train
PHL,2004-11-01,0,train
PHL,2004-12-01,0,train
PHL,2005-01-01,0,train
PHL,2005-02-01,0,train
PHL,2005-03-01,0,train
PHL,2005-04-01,0,train
PHL,2005-05-01,0,train
PHL,2005-06-01,0,train
PHL,2005-07-01,0,train
PHL,2005-08-01,0,train
PHL,2005-09-01,0,train
PHL,2005-10-01,0,train
PHL,2005-11-01,0,train
PHL,2005-12-01,0,train
PHL,2006-01-01,0,train
PHL,2006-02-01,0,train
PHL,2006-03-01,0,train
PHL,2006-04-01,0,train
PHL,2006-05-01,0,train
PHL,2006-06-01,0,train
PHL,2006-07-01,0,train
PHL,2006-08-01,0,train
PHL,2006-09-01,0,train
PHL,2006-10-01,0,train
PHL,2006-11-01,0,train
PHL,2006-12-01,0,train
PHL,2007-01-01,0,train
PHL,2007-02-01,0,train
PHL,2007-03-01,0,train
PHL,2007-04-01,0,train
PHL,2007-05-01,0,train
PHL,2007-06-01,0,train
PHL,2007-07-01,0,train
PHL,2007-08-01,0,train
PHL,2007-09-01,0,train
PHL,2007-10-01,0,train
PHL,2007-11-01,0,train
PHL,2007-12-01,0,train
PHL,2008-01-01,0,train
PHL,2008-02-01,0,train
PHL,2008-03-01,0,train
PHL,2008-04-01,0,train
PHL,2008-05-01,0,train
PHL,2008-06-01,0,train
PHL,2008-07-01,0,train
PHL,2008-08-01,0,train
PHL,2008-09-01,0,train
PHL,2008-10-01,0,train
PHL,2008-11-01,0,train
PHL,2008-12-01,0,train
PHL,2009-01-01,0,train
PHL,2009-02-01,0,train
PHL,2009-03-01,0,train
PHL,2009-04-01,0,train
PHL,2009-05-01,0,train
PHL,2009-06-01,0,train
PHL,2009-07-01,0,train
PHL,2009-08-01,0,train
PHL,2009-09-01,0,train
PHL,2009-10-01,0,train
PHL,2009-11-01,0,train
PHL,2009-12-01,0,train
PHL,2010-01-01,0,train
PHL,2010-02-01,0,train
PHL,2010-03-01,0,train
PHL,2010-04-01,0,train
PHL,2010-05-01,0,train
PHL,2010-06-01,0,train
PHL,2010-07-01,0,train
PHL,2010-08-01,0,train
PHL,2010-09-01,0,train
PHL,2010-10-01,0,train
PHL,2010-11-01,0,train
PHL,2010-12-01,0,train
PHL,2011-01-01,0,train
PHL,2011-02-01,0,train
PHL,2011-03-01,0,train
PHL,2011-04-01,0,train
PHL,2011-05-01,0,train
PHL,2011-06-01,0,train
PHL,2011-07-01,0,train
PHL,2011-08-01,0,train
PHL,2011-09-01,0,train
PHL,2011-10-01,0,train
PHL,2011-11-01,0,train
PHL,2011-12-01,0,train
PHL,2012-01-01,0,train
PHL,2012-02-01,0,train
PHL,2012-03-01,0,train
PHL,2012-04-01,0,train
PHL,2012-05-01,0,train
PHL,2012-06-01,0,train
PHL,2012-07-01,0,train
PHL,2012-08-01,0,train
PHL,2012-09-01,0,train
PHL,2012-10-01,0,train
PHL,2012-11-01,0,train
PHL,2012-12-01,0,train
PHL,2013-01-01,0,train
PHL,2013-02-01,0,train
PHL,2013-03-01,0,train
PHL,2013-04-01,0,train
PHL,2013-05-01,0,train
PHL,2013-06-01,0,train
PHL,2013-07-01,0,train
PHL,2013-08-01,0,train
PHL,2013-09-01,0,train
PHL,2013-10-01,0,train
PHL,2013-11-01,0,train
PHL,2013-12-01,0,train
PHL,2014-01-01,0,train
PHL,2014-02-01,0,train
PHL,2014-03-01,0,train
PHL,2014-04-01,0,train
PHL,2014-05-01,0,train
PHL,2014-06-01,0,train
PHL,2014-07-01,0,train
PHL,2014-08-01,0,train
PHL,2014-09-01,0,train
PHL,2014-10-01,0,train
PHL,2014-11-01,0,train
PHL,2014-12-01,0,train
PHL,2015-01-01,0,train
PHL,2015-02-01,0,train
PHL,2015-03-01,0,train
PHL,2015-04-01,0,train
PHL,2015-05-01,0,train
PHL,2015-06-01,0,train
PHL,2015-07-01,0,train
PHL,2015-08-01,0,train
PHL,2015-09-01,0,train
PHL,2015-10-01,0,train
PHL,2015-11-01,0,train
PHL,2015-12-01,0,train
PHL,2016-01-01,0,train
PHL,2016-02-01,0,train
PHL,2016-03-01,0,train
PHL,2016-04-01,0,train
PHL,2016-05-01,0,train
PHL,2016-06-01,0,train
PHL,2016-07-01,0,train
PHL,2016-08-01,0,train
PHL,2016-09-01,0,train
PHL,2016-10-01,0,train
PHL,2016-11-01,0,train
PHL,2016-12-01,0,train
PHL,2017-01-01,0,train
PHL,2017-02-01,0,train
PHL,2017-03-01,0,train
PHL,2017-04-01,0,train
PHL,2017-05-01,0,train
PHL,2017-06-01,0,train
PHL,2017-07-01,0,train
PHL,2017-08-01,0,train
PHL,2017-09-01,0,train
PHL,2017-10-01,0,train
PHL,2017-11-01,0,train
PHL,2017-12-01,0,train
POL,2001-12-01,0,train
POL,2002-01-01,0,train
POL,2002-02-01,0,train
POL,2002-03-01,0,train
POL,2002-04-01,0,train
POL,2002-05-01,0,train
POL,2002-06-01,0,train
POL,2002-07-01,0,train
POL,2002-08-01,0,train
POL,2002-09-01,0,train
POL,2002-10-01,0,train
POL,2002-11-01,0,train
POL,2002-12-01,0,train
POL,2003-01-01,0,train
POL,2003-02-01,0,train
POL,2003-03-01,0,train
POL,2003-04-01,0,train
POL,2003-05-01,0,train
POL,2003-06-01,0,train
POL,2003-07-01,0,train
POL,2003-08-01,0,train
POL,2003-09-01,0,train
POL,2003-10-01,0,train
POL,2003-11-01,0,train
POL,2003-12-01,0,train
POL,2004-01-01,0,train
POL,2004-02-01,0,train
POL,2004-03-01,0,train
POL,2004-04-01,0,train
POL,2004-05-01,0,train
POL,2004-06-01,0,train
POL,2004-07-01,0,train
POL,2004-08-01,0,train
POL,2004-09-01,0,train
POL,2004-10-01,0,train
POL,2004-11-01,0,train
POL,2004-12-01,0,train
POL,2005-01-01,0,train
POL,2005-02-01,0,train
POL,2005-03-01,0,train
POL,2005-04-01,0,train
POL,2005-05-01,0,train
POL,2005-06-01,0,train
POL,2005-07-01,0,train
POL,2005-08-01,0,train
POL,2005-09-01,0,train
POL,2005-10-01,0,train
POL,2005-11-01,0,train
POL,2005-12-01,0,train
POL,2006-01-01,0,train
POL,2006-02-01,0,train
POL,2006-03-01,0,train
POL,2006-04-01,0,train
POL,2006-05-01,0,train
POL,2006-06-01,0,train
POL,2006-07-01,0,train
POL,2006-08-01,0,train
POL,2006-09-01,0,train
POL,2006-10-01,0,train
POL,2006-11-01,0,train
POL,2006-12-01,0,train
POL,2007-01-01,0,train
POL,2007-02-01,0,train
POL,2007-03-01,0,train
POL,2007-04-01,0,train
POL,2007-05-01,0,train
POL,2007-06-01,0,train
POL,2007-07-01,0,train
POL,2007-08-01,0,train
POL,2007-09-01,0,train
POL,2007-10-01,0,train
POL,2007-11-01,0,train
POL,2007-12-01,0,train
POL,2008-01-01,0,train
POL,2008-02-01,0,train
POL,2008-03-01,0,train
POL,2008-04-01,0,train
POL,2008-05-01,0,train
POL,2008-06-01,0,train
POL,2008-07-01,0,train
POL,2008-08-01,0,train
POL,2008-09-01,0,train
POL,2008-10-01,0,train
POL,2008-11-01,0,train
POL,2008-12-01,0,train
POL,2009-01-01,0,train
POL,2009-02-01,0,train
POL,2009-03-01,0,train
POL,2009-04-01,0,train
POL,2009-05-01,0,train
POL,2009-06-01,0,train
POL,2009-07-01,0,train
POL,2009-08-01,0,train
POL,2009-09-01,0,train
POL,2009-10-01,0,train
POL,2009-11-01,0,train
POL,2009-12-01,0,train
POL,2010-01-01,0,train
POL,2010-02-01,0,train
POL,2010-03-01,0,train
POL,2010-04-01,0,train
POL,2010-05-01,0,train
POL,2010-06-01,0,train
POL,2010-07-01,0,train
POL,2010-08-01,0,train
POL,2010-09-01,0,train
POL,2010-10-01,0,train
POL,2010-11-01,0,train
POL,2010-12-01,0,train
POL,2011-01-01,0,train
POL,2011-02-01,0,train
POL,2011-03-01,0,train
POL,2011-04-01,0,train
POL,2011-05-01,0,train
POL,2011-06-01,0,train
POL,2011-07-01,0,train
POL,2011-08-01,0,train
POL,2011-09-01,0,train
POL,2011-10-01,0,train
POL,2011-11-01,0,train
POL,2011-12-01,0,train
POL,2012-01-01,0,train
POL,2012-02-01,0,train
POL,2012-03-01,0,train
POL,2012-04-01,0,train
POL,2012-05-01,0,train
POL,2012-06-01,0,train
POL,2012-07-01,0,train
POL,2012-08-01,0,train
POL,2012-09-01,0,train
POL,2012-10-01,0,train
POL,2012-11-01,0,train
POL,2012-12-01,0,train
POL,2013-01-01,0,train
POL,2013-02-01,0,train
POL,2013-03-01,0,train
POL,2013-04-01,0,train
POL,2013-05-01,0,train
POL,2013-06-01,0,train
POL,2013-07-01,0,train
POL,2013-08-01,0,train
POL,2013-09-01,0,train
POL,2013-10-01,0,train
POL,2013-11-01,0,train
POL,2013-12-01,0,train
POL,2014-01-01,0,train
POL,2014-02-01,0,train
POL,2014-03-01,0,train
POL,2014-04-01,0,train
POL,2014-05-01,0,train
POL,2014-06-01,0,train
POL,2014-07-01,0,train
POL,2014-08-01,0,train
POL,2014-09-01,0,train
POL,2014-10-01,0,train
POL,2014-11-01,0,train
POL,2014-12-01,0,train
POL,2015-01-01,0,train
POL,2015-02-01,0,train
POL,2015-03-01,0,train
POL,2015-04-01,0,train
POL,2015-05-01,0,train
POL,2015-06-01,0,train
POL,2015-07-01,0,train
POL,2015-08-01,0,train
POL,2015-09-01,0,train
POL,2015-10-01,0,train
POL,2015-11-01,0,train
POL,2015-12-01,0,train
POL,2016-01-01,0,train
POL,2016-02-01,0,train
POL,2016-03-01,0,train
POL,2016-04-01,0,train
POL,2016-05-01,0,train
POL,2016-06-01,0,train
POL,2016-07-01,0,train
POL,2016-08-01,0,train
POL,2016-09-01,0,train
POL,2016-10-01,0,train
POL,2016-11-01,0,train
POL,2016-12-01,0,train
POL,2017-01-01,0,train
POL,2017-02-01,0,train
POL,2017-03-01,0,train
POL,2017-04-01,0,train
POL,2017-05-01,0,train
POL,2017-06-01,0,train
POL,2017-07-01,0,train
POL,2017-08-01,0,train
POL,2017-09-01,0,train
POL,2017-10-01,0,train
POL,2017-11-01,0,train
POL,2017-12-01,0,train
ROU,2001-12-01,0,train
ROU,2002-01-01,0,train
ROU,2002-02-01,0,train
ROU,2002-03-01,0,train
ROU,2002-04-01,0,train
ROU,2002-05-01,0,train
ROU,2002-06-01,0,train
ROU,2002-07-01,0,train
ROU,2002-08-01,0,train
ROU,2002-09-01,0,train
ROU,2002-10-01,0,train
ROU,2002-11-01,0,train
ROU,2002-12-01,0,train
ROU,2003-01-01,0,train
ROU,2003-02-01,0,train
ROU,2003-03-01,0,train
ROU,2003-04-01,0,train
ROU,2003-05-01,0,train
ROU,2003-06-01,0,train
ROU,2003-07-01,0,train
ROU,2003-08-01,0,train
ROU,2003-09-01,0,train
ROU,2003-10-01,0,train
ROU,2003-11-01,0,train
ROU,2003-12-01,0,train
ROU,2004-01-01,0,train
ROU,2004-02-01,0,train
ROU,2004-03-01,0,train
ROU,2004-04-01,0,train
ROU,2004-05-01,0,train
ROU,2004-06-01,0,train
ROU,2004-07-01,0,train
ROU,2004-08-01,0,train
ROU,2004-09-01,0,train
ROU,2004-10-01,0,train
ROU,2004-11-01,0,train
ROU,2004-12-01,0,train
ROU,2005-01-01,0,train
ROU,2005-02-01,0,train
ROU,2005-03-01,0,train
ROU,2005-04-01,0,train
ROU,2005-05-01,0,train
ROU,2005-06-01,0,train
ROU,2005-07-01,0,train
ROU,2005-08-01,0,train
ROU,2005-09-01,0,train
ROU,2005-10-01,0,train
ROU,2005-11-01,0,train
ROU,2005-12-01,0,train
ROU,2006-01-01,0,train
ROU,2006-02-01,0,train
ROU,2006-03-01,0,train
ROU,2006-04-01,0,train
ROU,2006-05-01,0,train
ROU,2006-06-01,0,train
ROU,2006-07-01,0,train
ROU,2006-08-01,0,train
ROU,2006-09-01,0,train
ROU,2006-10-01,0,train
ROU,2006-11-01,0,train
ROU,2006-12-01,0,train
ROU,2007-01-01,0,train
ROU,2007-02-01,0,train
ROU,2007-03-01,0,train
ROU,2007-04-01,0,train
ROU,2007-05-01,0,train
